freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250093,Paul Richardson,Male,53.0,China,Mandarin,UI/UX Design,21.0,100.0,2.6,Y,97.0
FL250094,Jose Jones,Male,35.0,Russia,Russian,Blockchain Development,3.0,30.0,3.8,yes,81.0
FL250095,Denise Smith,Female,54.0,China,Mandarin,Machine Learning,17.0,20.0,1.7,0,69.0
FL250096,Shelby Mcmahon,Female,36.0,Italy,Italian,UI/UX Design,0.0,20.0,1.3,Y,64.0
FL250097,Bethany Wright,Female,49.0,Spain,Spanish,Cybersecurity,25.0,50.0,5.0,N,77.0
FL250098,David Ortiz,Male,37.0,United States,English,Blockchain Development,17.0,20.0,3.3,0,96.0
FL250099,Andrew Lynch,Male,41.0,United States,English,UI/UX Design,5.0,20.0,1.1,no,74.0
FL250100,Kristopher Meyers,Male,32.0,Egypt,Arabic,UI/UX Design,10.0,50.0,1.2,False,89.0
FL250101,Thomas Roth,Male,35.0,India,Hindi,Mobile Apps,0.0,40.0,2.0,1,64.0
FL250102,Vicki Brown,Female,51.0,Russia,Russian,Graphic Design,2.0,30.0,4.5,0,64.0
FL250103,Stacy Sutton,Female,50.0,Russia,Russian,DevOps,30.0,100.0,3.0,1,73.0
FL250104,Kimberly Holland,Female,21.0,Turkey,Turkish,Blockchain Development,2.0,50.0,4.9,yes,68.0
FL250105,Travis Richardson,Male,25.0,United States,English,Graphic Design,3.0,30.0,2.6,no,88.0
FL250106,Jasmin Ho,Female,57.0,France,French,DevOps,21.0,40.0,2.5,0,77.0
FL250107,Mark Paul,Male,58.0,Russia,Russian,Blockchain Development,3.0,40.0,0.0,1,79.0
FL250108,Jennifer Lewis,Female,45.0,Indonesia,Indonesian,Mobile Apps,19.0,40.0,2.6,1,72.0
FL250109,Elizabeth Lester,Female,23.0,United States,English,Web Development,0.0,20.0,4.7,Y,60.0
FL250110,Kimberly Griffin,Female,46.0,United States,English,AI,9.0,30.0,3.5,,72.0
FL250111,Tyler Warner,Male,27.0,Argentina,Spanish,UI/UX Design,5.0,30.0,2.6,N,92.0
FL250112,Jane Cox,Female,32.0,United States,English,Machine Learning,6.0,50.0,3.4,1,79.0
FL250113,Leah Williams,Female,48.0,Argentina,Spanish,Machine Learning,6.0,75.0,2.5,,92.0
FL250114,Kevin Wong,Male,30.0,Turkey,Turkish,Mobile Apps,3.0,30.0,1.1,True,79.0
FL250115,Robert Andrews,Male,59.0,Turkey,Turkish,AI,13.0,20.0,4.8,,79.0
FL250116,Jessica Torres,Female,32.0,Mexico,Spanish,AI,5.0,30.0,2.6,0,86.0
FL250117,Teresa Kim,Female,57.0,Egypt,Arabic,UI/UX Design,4.0,40.0,3.4,1,68.0
FL250118,Jon Morgan,Male,27.0,Australia,English,Machine Learning,7.0,20.0,3.2,1,62.0
FL250119,Gloria Chaney,Female,33.0,Indonesia,Indonesian,Machine Learning,13.0,20.0,3.2,False,79.0
FL250120,Jesse Campbell,Male,29.0,South Korea,Korean,Data Analysis,4.0,30.0,0.0,Y,82.0
FL250121,Allison Tucker MD,Female,36.0,Indonesia,Indonesian,UI/UX Design,13.0,75.0,2.6,1,79.0
FL250122,Candice Petersen,Female,47.0,Italy,Italian,DevOps,5.0,40.0,3.7,False,93.0
FL250123,Christopher Nichols,Male,48.0,Canada,English,Machine Learning,15.0,50.0,1.0,Y,64.0
FL250124,Debra Garcia,Female,27.0,China,Mandarin,UI/UX Design,8.0,50.0,0.0,,79.0
FL250125,Andrew Fuentes,Male,34.0,Australia,English,Web Development,10.0,40.0,1.7,N,96.0
FL250126,Jason Carter,Male,49.0,South Korea,Korean,Data Analysis,19.0,40.0,5.0,Y,83.0
FL250127,Austin Romero,Male,30.0,Brazil,Portuguese,Mobile Apps,10.0,100.0,1.7,yes,64.0
FL250128,Clayton Burns,Male,31.0,Egypt,Arabic,Graphic Design,8.0,40.0,4.4,0,70.0
FL250129,Jonathan Clark,Male,58.0,China,Mandarin,Machine Learning,9.0,20.0,0.0,N,65.0
FL250130,Alexander Griffin,Male,47.0,France,French,Machine Learning,13.0,40.0,3.4,,67.0
FL250131,Shelly Whitehead,Female,45.0,United Kingdom,English,Cybersecurity,14.0,100.0,1.1,no,93.0
FL250132,Kaitlyn Davis,Female,57.0,France,French,Machine Learning,0.0,50.0,1.6,N,60.0
FL250133,Christopher Jones,Male,50.0,India,Hindi,Web Development,22.0,100.0,4.1,N,62.0
FL250134,Cindy Jacobs,Female,41.0,Brazil,Portuguese,Machine Learning,4.0,40.0,2.5,,70.0
FL250135,Penny Day,Female,45.0,Indonesia,Indonesian,Blockchain Development,22.0,100.0,4.0,Y,75.0
FL250136,Thomas Ingram,Male,60.0,South Africa,Afrikaans,Cybersecurity,39.0,75.0,1.4,no,70.0
FL250137,Donna Hansen,Female,43.0,United Kingdom,English,Cybersecurity,5.0,50.0,2.6,1,84.0
FL250138,Donna Bailey,Female,39.0,France,French,Cybersecurity,5.0,40.0,1.2,0,83.0
FL250139,Joshua Armstrong,Male,26.0,Mexico,Spanish,UI/UX Design,5.0,50.0,0.0,N,79.0
FL250140,Jonathan Garza,Male,31.0,Germany,German,Cybersecurity,11.0,50.0,3.1,False,88.0
FL250141,Charles Jones,Male,52.0,France,French,UI/UX Design,15.0,50.0,0.0,yes,81.0
FL250142,Lindsey Miles,Female,34.0,India,Hindi,Data Analysis,5.0,20.0,2.2,Y,80.0
FL250143,Eduardo Reed,Male,45.0,United Kingdom,English,Web Development,7.0,75.0,3.0,1,67.0
FL250144,Lee Fowler,Male,46.0,United Kingdom,English,Cybersecurity,9.0,20.0,0.0,N,82.0
FL250145,Steven Jones Jr.,Male,56.0,France,French,UI/UX Design,21.0,100.0,0.0,True,78.0
FL250146,Ashley Chen,Female,59.0,Germany,German,AI,7.0,40.0,1.4,False,81.0
FL250147,Erica Davis,Female,54.0,Egypt,Arabic,Blockchain Development,4.0,40.0,1.4,True,74.0
FL250148,Wayne Gonzales,Male,36.0,Germany,German,UI/UX Design,7.0,30.0,0.0,N,88.0
FL250149,Gary Ballard,Male,25.0,Mexico,Spanish,Data Analysis,0.0,40.0,0.0,0,90.0
FL250150,Maria Mcguire,Female,37.0,Russia,Russian,Data Analysis,15.0,40.0,2.9,False,79.0
FL250151,Matthew Richards,Male,41.0,Turkey,Turkish,Data Analysis,10.0,40.0,0.0,,79.0
FL250152,Patrick Malone,Male,29.0,Spain,Spanish,Data Analysis,11.0,20.0,2.7,no,93.0
FL250153,Cindy Martin,Female,55.0,Argentina,Spanish,Mobile Apps,12.0,100.0,1.8,1,79.0
FL250154,Anne Edwards,Female,38.0,Japan,Japanese,DevOps,20.0,75.0,1.1,no,71.0
FL250155,Mitchell Martin,Male,47.0,South Korea,Korean,DevOps,29.0,40.0,4.3,1,95.0
FL250156,Mitchell Patrick,Male,60.0,Brazil,Portuguese,Web Development,15.0,100.0,1.5,0,80.0
FL250157,Rebecca Lyons,Female,43.0,Italy,Italian,Data Analysis,9.0,20.0,2.2,N,79.0
FL250158,Christian Lopez,Male,56.0,South Africa,Afrikaans,Data Analysis,9.0,100.0,3.2,0,62.0
FL250159,Nathan Blair,Male,42.0,Russia,Russian,DevOps,2.0,50.0,1.9,False,95.0
FL250160,Patricia Lopez,Female,20.0,Spain,Spanish,Graphic Design,0.0,40.0,2.5,0,79.0
FL250161,Michelle Wu,Female,47.0,Indonesia,Indonesian,UI/UX Design,12.0,40.0,4.5,no,62.0
FL250162,Donald Mitchell,Male,41.0,Argentina,Spanish,Data Analysis,12.0,30.0,4.1,no,68.0
FL250163,Sean Gordon,Male,56.0,Indonesia,Indonesian,DevOps,15.0,75.0,0.0,no,79.0
FL250164,Gregory Clarke,Male,59.0,United Kingdom,English,DevOps,29.0,75.0,2.6,0,80.0
FL250165,Steven Whitney,Male,56.0,Japan,Japanese,Cybersecurity,15.0,40.0,3.7,,92.0
FL250166,Robin Acosta,Female,31.0,South Africa,Afrikaans,Web Development,9.0,75.0,1.3,1,65.0
FL250167,John Smith,Male,60.0,South Korea,Korean,Mobile Apps,33.0,40.0,3.6,1,87.0
FL250168,Susan Baker,Female,31.0,Canada,English,Web Development,10.0,75.0,0.0,no,70.0
FL250169,Anthony Larsen,Male,60.0,Argentina,Spanish,Cybersecurity,20.0,40.0,1.4,no,87.0
FL250170,Nicholas Carpenter,Male,46.0,France,French,DevOps,23.0,20.0,2.9,N,72.0
FL250171,Debra Salazar,Female,41.0,Netherlands,Dutch,Blockchain Development,9.0,40.0,2.8,N,80.0
FL250172,William Smith,Male,34.0,Japan,Japanese,UI/UX Design,0.0,20.0,1.7,0,66.0
FL250173,Caroline Gross,Female,42.0,Netherlands,Dutch,Graphic Design,7.0,40.0,0.0,1,79.0
FL250174,Jeremy Sawyer,Male,31.0,United Kingdom,English,Data Analysis,4.0,75.0,1.1,True,64.0
FL250175,Eduardo Burns,Male,29.0,Brazil,Portuguese,UI/UX Design,9.0,20.0,2.6,,68.0
FL250176,Amanda Jones,Female,57.0,Australia,English,Graphic Design,17.0,20.0,3.6,0,63.0
FL250177,Frederick Ware,Male,47.0,India,Hindi,DevOps,8.0,20.0,4.5,1,72.0
FL250178,Michael Black,Male,47.0,South Africa,Afrikaans,AI,14.0,30.0,0.0,True,86.0
FL250179,Patricia Sanders,Female,45.0,France,French,Graphic Design,21.0,30.0,1.5,1,73.0
FL250180,Marc Joseph,Male,24.0,Turkey,Turkish,Machine Learning,1.0,30.0,3.7,no,95.0
FL250181,Vanessa White,Female,31.0,Argentina,Spanish,Mobile Apps,12.0,20.0,2.3,False,90.0
FL250182,Jennifer Garcia,Female,20.0,Mexico,Spanish,Graphic Design,2.0,20.0,2.8,0,78.0
FL250183,Michael Zavala,Male,38.0,Japan,Japanese,Web Development,3.0,30.0,3.5,no,97.0
FL250184,Kimberly Williams,Female,33.0,Germany,German,UI/UX Design,11.0,40.0,0.0,yes,65.0
FL250185,Elizabeth Jenkins,Female,31.0,Australia,English,Web Development,4.0,40.0,3.2,1,78.0
FL250186,Brandon Ford,Male,41.0,Spain,Spanish,Machine Learning,21.0,50.0,3.3,Y,65.0
FL250187,Justin House,Male,54.0,Turkey,Turkish,Web Development,0.0,20.0,4.9,,79.0
FL250188,Henry Mullen,Male,50.0,Mexico,Spanish,Data Analysis,6.0,30.0,2.2,1,95.0
FL250189,Jesse Cochran,Male,48.0,Brazil,Portuguese,Machine Learning,18.0,40.0,2.6,1,88.0
FL250190,Melissa Rich,Female,49.0,Mexico,Spanish,Graphic Design,9.0,40.0,1.8,0,79.0
FL250191,Patrick Dunlap,Male,21.0,South Korea,Korean,Graphic Design,1.0,75.0,4.6,0,92.0
FL250192,Troy Carson,Male,58.0,Australia,English,Graphic Design,20.0,75.0,2.8,no,75.0
FL250193,Matthew Smith,Male,41.0,Italy,Italian,DevOps,9.0,30.0,1.4,False,74.0
FL250194,Jennifer Cherry,Female,58.0,Russia,Russian,Blockchain Development,25.0,30.0,4.2,Y,71.0
FL250195,Brandi Tucker,Female,50.0,South Africa,Afrikaans,Graphic Design,20.0,40.0,3.6,1,89.0
FL250196,Zachary Burke,Male,52.0,Indonesia,Indonesian,Web Development,33.0,100.0,1.6,,66.0
FL250197,Thomas Jones,Male,34.0,Netherlands,Dutch,Data Analysis,6.0,100.0,2.0,no,79.0
FL250198,Brian Dunn,Male,32.0,France,French,Machine Learning,11.0,40.0,4.3,True,86.0
FL250199,Shirley Strickland,Female,50.0,India,Hindi,Graphic Design,28.0,100.0,4.9,Y,86.0
FL250200,Nicole Meyers,Female,39.0,Argentina,Spanish,Data Analysis,11.0,100.0,3.5,Y,82.0
FL250201,Jill Stephens,Female,25.0,Spain,Spanish,AI,2.0,100.0,2.5,no,87.0
FL250202,Heidi Miranda,Female,55.0,China,Mandarin,Machine Learning,7.0,100.0,1.7,1,80.0
FL250203,Jesus Martinez,Male,42.0,Italy,Italian,DevOps,10.0,100.0,4.6,Y,71.0
FL250204,Adam Payne,Male,43.0,Russia,Russian,Mobile Apps,6.0,50.0,2.6,N,77.0
FL250205,Walter Williams,Male,54.0,Italy,Italian,DevOps,29.0,30.0,1.7,0,68.0
FL250206,Shannon Farmer,Female,21.0,Egypt,Arabic,Graphic Design,0.0,20.0,1.8,N,91.0
FL250207,Peter Reyes,Male,46.0,Canada,English,UI/UX Design,5.0,20.0,2.2,False,75.0
FL250208,Kristen Knight,Female,30.0,Spain,Spanish,Blockchain Development,11.0,40.0,1.0,N,90.0
FL250209,William Moore Jr.,Male,36.0,China,Mandarin,Machine Learning,11.0,75.0,3.2,0,93.0
FL250210,Jennifer Rowe,Female,47.0,Germany,German,Data Analysis,15.0,40.0,2.1,yes,94.0
FL250211,Mikayla Henry,Female,43.0,Canada,English,Mobile Apps,1.0,50.0,4.6,True,64.0
FL250212,Jacob Kerr,Male,57.0,South Korea,Korean,Cybersecurity,8.0,20.0,0.0,yes,84.0
FL250213,Ryan Johnson,Male,52.0,Italy,Italian,Machine Learning,30.0,20.0,2.8,no,87.0
FL250214,Michael Ruiz,Male,41.0,Germany,German,Blockchain Development,8.0,40.0,0.0,N,64.0
FL250215,Monica Roberts,Female,22.0,Indonesia,Indonesian,Machine Learning,0.0,100.0,2.7,True,64.0
FL250216,Danny Brown,Male,41.0,India,Hindi,Machine Learning,12.0,20.0,0.0,True,80.0
FL250217,Karen Larsen,Female,58.0,Spain,Spanish,Mobile Apps,4.0,50.0,3.1,0,90.0
FL250218,Robert Evans,Male,39.0,South Korea,Korean,Web Development,14.0,100.0,0.0,Y,92.0
FL250219,Sean Poole,Male,32.0,Indonesia,Indonesian,Graphic Design,14.0,40.0,2.6,0,96.0
FL250220,Richard Quinn,Male,37.0,Canada,English,UI/UX Design,2.0,30.0,2.3,yes,79.0
FL250221,Jennifer Gonzalez,Female,21.0,China,Mandarin,Cybersecurity,2.0,100.0,2.4,Y,79.0
FL250222,James Skinner,Male,41.0,South Korea,Korean,Machine Learning,4.0,75.0,2.6,,85.0
FL250223,Michelle Hill,Female,21.0,Canada,English,AI,0.0,40.0,1.1,0,79.0
FL250224,Jacqueline Williams,Female,58.0,China,Mandarin,Machine Learning,9.0,30.0,0.0,1,65.0
FL250225,Darrell Johnson,Male,60.0,Canada,English,Machine Learning,3.0,40.0,4.7,False,63.0
FL250226,Ryan Crawford,Male,27.0,South Africa,Afrikaans,Web Development,2.0,40.0,1.2,False,79.0
FL250227,Chelsea Barber,Female,29.0,Germany,German,Machine Learning,10.0,40.0,1.2,False,78.0
FL250228,Elaine Martinez,Female,54.0,Canada,English,Graphic Design,33.0,75.0,0.0,1,62.0
FL250229,Joseph Kent,Male,52.0,Mexico,Spanish,Machine Learning,12.0,40.0,1.2,0,76.0
FL250230,Megan Welch,Female,55.0,Indonesia,Indonesian,Blockchain Development,18.0,100.0,2.9,0,97.0
FL250231,Stephen Ramirez,Male,37.0,Brazil,Portuguese,Blockchain Development,4.0,40.0,2.6,N,79.0
FL250232,Chloe Gray,Female,34.0,Egypt,Arabic,Data Analysis,11.0,50.0,3.9,1,82.0
FL250233,Michael Williams Jr.,Male,20.0,France,French,Data Analysis,1.0,50.0,3.1,,71.0
FL250234,Matthew Martin,Male,22.0,Mexico,Spanish,UI/UX Design,2.0,40.0,0.0,1,79.0
FL250235,Julia Murphy,Female,23.0,South Korea,Korean,Graphic Design,2.0,50.0,3.2,True,79.0
FL250236,Anna Evans,Female,53.0,South Korea,Korean,Blockchain Development,34.0,30.0,2.6,Y,79.0
FL250237,Brenda Fleming,Female,56.0,South Korea,Korean,Graphic Design,27.0,100.0,4.7,True,69.0
FL250238,Daniel Harrington,Male,27.0,Canada,English,AI,4.0,75.0,5.0,0,88.0
FL250239,Daniel Barnett,Male,34.0,Italy,Italian,Mobile Apps,11.0,40.0,2.6,False,67.0
FL250240,Mark Cummings,Male,29.0,United States,English,Web Development,4.0,50.0,4.0,0,79.0
FL250241,Christopher Guerra,Male,34.0,India,Hindi,AI,11.0,40.0,1.2,1,79.0
FL250242,Sarah Ho,Female,32.0,Mexico,Spanish,AI,1.0,100.0,4.7,0,67.0
FL250243,Veronica Thomas,Female,21.0,South Africa,Afrikaans,Machine Learning,2.0,20.0,2.4,,86.0
FL250244,Mitchell Watson,Male,20.0,Mexico,Spanish,Graphic Design,2.0,40.0,1.1,False,69.0
FL250245,Monica Murphy,Female,35.0,United States,English,Mobile Apps,10.0,50.0,1.4,True,85.0
FL250246,Kristen Williams,Female,47.0,United States,English,UI/UX Design,18.0,40.0,3.4,0,60.0
FL250247,Nicole Wright,Female,41.0,Turkey,Turkish,Blockchain Development,4.0,40.0,2.7,1,70.0
FL250248,Andrew Ruiz,Male,58.0,Argentina,Spanish,Web Development,23.0,40.0,4.9,False,79.0
FL250249,Zachary Jackson,Male,34.0,China,Mandarin,Data Analysis,6.0,75.0,1.9,1,81.0
FL250250,Stephanie Carter,Female,50.0,India,Hindi,Mobile Apps,5.0,100.0,2.6,1,79.0
FL250251,Amy Olson,Female,42.0,Mexico,Spanish,DevOps,19.0,75.0,4.6,0,78.0
FL250252,Fred Stark,Male,43.0,Germany,German,UI/UX Design,6.0,50.0,0.0,0,81.0
FL250253,Jacob Gill,Male,34.0,Germany,German,Data Analysis,8.0,75.0,1.8,1,71.0
FL250254,Anthony Nichols,Male,24.0,Spain,Spanish,Mobile Apps,3.0,75.0,2.0,False,79.0
FL250255,William Knapp,Male,48.0,South Africa,Afrikaans,UI/UX Design,8.0,30.0,5.0,1,99.0
FL250256,Elizabeth Walker,Female,39.0,South Korea,Korean,Data Analysis,12.0,20.0,3.2,True,66.0
FL250257,Brenda Reeves,Female,57.0,Australia,English,Blockchain Development,30.0,30.0,2.4,,80.0
FL250258,Carrie Little,Female,44.0,Canada,English,Web Development,21.0,100.0,2.9,0,83.0
FL250259,Steven Jackson,Male,37.0,Brazil,Portuguese,UI/UX Design,17.0,20.0,0.0,yes,87.0
